Subject,Item,Condition,Region,DV
S1,I2,Positive,R3,0
S1,I3,Negative,R3,0
S1,I4,Neutral,R3,0
S1,I5,Positive,R3,0
S1,I6,Negative,R3,0
S1,I7,Neutral,R3,1
S1,I8,Positive,R3,0
S1,I9,Negative,R3,0
S1,I10,Neutral,R3,0
S1,I11,Positive,R3,0
S1,I12,Negative,R3,0
S1,I13,Neutral,R3,0
S1,I14,Positive,R3,0
S1,I15,Negative,R3,0
S1,I16,Neutral,R3,0
S1,I17,Positive,R3,0
S1,I18,Negative,R3,0
S1,I19,Neutral,R3,0
S1,I20,Positive,R3,0
S1,I21,Negative,R3,1
S1,I22,Neutral,R3,0
S1,I23,Positive,R3,1
S1,I24,Negative,R3,0
S2,I1,Negative,R3,0
S2,I2,Neutral,R3,0
S2,I3,Positive,R3,0
S2,I4,Negative,R3,0
S2,I5,Neutral,R3,0
S2,I6,Positive,R3,0
S2,I7,Negative,R3,0
S2,I8,Neutral,R3,0
S2,I9,Positive,R3,0
S2,I10,Negative,R3,0
S2,I11,Neutral,R3,0
S2,I12,Positive,R3,0
S2,I13,Negative,R3,0
S2,I14,Neutral,R3,0
S2,I15,Positive,R3,0
S2,I16,Negative,R3,0
S2,I17,Neutral,R3,0
S2,I18,Positive,R3,0
S2,I19,Negative,R3,0
S2,I20,Neutral,R3,0
S2,I21,Positive,R3,0
S2,I22,Negative,R3,0
S2,I23,Neutral,R3,0
S2,I24,Positive,R3,0
S3,I1,Positive,R3,0
S3,I2,Negative,R3,0
S3,I3,Neutral,R3,0
S3,I4,Positive,R3,1
S3,I5,Negative,R3,0
S3,I6,Neutral,R3,0
S3,I7,Positive,R3,0
S3,I8,Negative,R3,0
S3,I9,Neutral,R3,0
S3,I10,Positive,R3,0
S3,I11,Negative,R3,0
S3,I12,Neutral,R3,0
S3,I13,Positive,R3,1
S3,I14,Negative,R3,0
S3,I15,Neutral,R3,0
S3,I16,Positive,R3,0
S3,I17,Negative,R3,1
S3,I18,Neutral,R3,0
S3,I19,Positive,R3,0
S3,I20,Negative,R3,0
S3,I21,Neutral,R3,0
S3,I22,Positive,R3,0
S3,I23,Negative,R3,1
S3,I24,Neutral,R3,0
S4,I1,Neutral,R3,0
S4,I2,Positive,R3,0
S4,I3,Negative,R3,0
S4,I4,Neutral,R3,0
S4,I6,Negative,R3,1
S4,I7,Neutral,R3,1
S4,I8,Positive,R3,0
S4,I9,Negative,R3,0
S4,I10,Neutral,R3,1
S4,I11,Positive,R3,0
S4,I12,Negative,R3,0
S4,I13,Neutral,R3,0
S4,I14,Positive,R3,0
S4,I15,Negative,R3,0
S4,I16,Neutral,R3,0
S4,I17,Positive,R3,0
S4,I18,Negative,R3,0
S4,I19,Neutral,R3,0
S4,I20,Positive,R3,0
S4,I21,Negative,R3,0
S4,I22,Neutral,R3,0
S4,I24,Negative,R3,1
S5,I1,Negative,R3,1
S5,I2,Neutral,R3,0
S5,I3,Positive,R3,0
S5,I4,Negative,R3,0
S5,I5,Neutral,R3,0
S5,I6,Positive,R3,0
S5,I7,Negative,R3,0
S5,I8,Neutral,R3,1
S5,I9,Positive,R3,0
S5,I10,Negative,R3,0
S5,I11,Neutral,R3,1
S5,I12,Positive,R3,0
S5,I13,Negative,R3,0
S5,I14,Neutral,R3,1
S5,I15,Positive,R3,1
S5,I16,Negative,R3,0
S5,I17,Neutral,R3,0
S5,I18,Positive,R3,1
S5,I19,Negative,R3,0
S5,I20,Neutral,R3,1
S5,I21,Positive,R3,0
S5,I22,Negative,R3,0
S5,I23,Neutral,R3,1
S5,I24,Positive,R3,0
S6,I1,Positive,R3,0
S6,I2,Negative,R3,1
S6,I3,Neutral,R3,1
S6,I4,Positive,R3,0
S6,I5,Negative,R3,1
S6,I6,Neutral,R3,0
S6,I7,Positive,R3,1
S6,I8,Negative,R3,0
S6,I9,Neutral,R3,1
S6,I10,Positive,R3,0
S6,I11,Negative,R3,0
S6,I12,Neutral,R3,0
S6,I13,Positive,R3,0
S6,I15,Neutral,R3,0
S6,I16,Positive,R3,0
S6,I17,Negative,R3,1
S6,I18,Neutral,R3,1
S6,I19,Positive,R3,1
S6,I20,Negative,R3,0
S6,I21,Neutral,R3,0
S6,I22,Positive,R3,1
S6,I23,Negative,R3,0
S6,I24,Neutral,R3,1
S7,I1,Neutral,R3,0
S7,I2,Positive,R3,0
S7,I3,Negative,R3,0
S7,I4,Neutral,R3,0
S7,I5,Positive,R3,0
S7,I6,Negative,R3,0
S7,I7,Neutral,R3,1
S7,I8,Positive,R3,0
S7,I9,Negative,R3,0
S7,I10,Neutral,R3,0
S7,I11,Positive,R3,0
S7,I12,Negative,R3,0
S7,I13,Neutral,R3,0
S7,I14,Positive,R3,0
S7,I15,Negative,R3,0
S7,I16,Neutral,R3,0
S7,I17,Positive,R3,0
S7,I18,Negative,R3,0
S7,I19,Neutral,R3,0
S7,I20,Positive,R3,0
S7,I21,Negative,R3,0
S7,I22,Neutral,R3,0
S7,I23,Positive,R3,0
S7,I24,Negative,R3,0
S8,I1,Negative,R3,0
S8,I2,Neutral,R3,0
S8,I3,Positive,R3,0
S8,I4,Negative,R3,0
S8,I5,Neutral,R3,0
S8,I6,Positive,R3,0
S8,I7,Negative,R3,0
S8,I8,Neutral,R3,0
S8,I9,Positive,R3,0
S8,I10,Negative,R3,1
S8,I11,Neutral,R3,0
S8,I12,Positive,R3,0
S8,I13,Negative,R3,0
S8,I14,Neutral,R3,1
S8,I15,Positive,R3,0
S8,I16,Negative,R3,0
S8,I17,Neutral,R3,0
S8,I18,Positive,R3,0
S8,I19,Negative,R3,0
S8,I20,Neutral,R3,0
S8,I21,Positive,R3,0
S8,I22,Negative,R3,0
S8,I23,Neutral,R3,0
S8,I24,Positive,R3,0
S9,I1,Positive,R3,0
S9,I2,Negative,R3,0
S9,I3,Neutral,R3,0
S9,I4,Positive,R3,0
S9,I5,Negative,R3,0
S9,I6,Neutral,R3,0
S9,I7,Positive,R3,0
S9,I8,Negative,R3,0
S9,I9,Neutral,R3,0
S9,I10,Positive,R3,1
S9,I11,Negative,R3,0
S9,I12,Neutral,R3,0
S9,I13,Positive,R3,1
S9,I15,Neutral,R3,0
S9,I16,Positive,R3,1
S9,I17,Negative,R3,0
S9,I18,Neutral,R3,1
S9,I19,Positive,R3,0
S9,I20,Negative,R3,0
S9,I21,Neutral,R3,0
S9,I22,Positive,R3,1
S9,I23,Negative,R3,0
S9,I24,Neutral,R3,0
S10,I1,Neutral,R3,0
S10,I2,Positive,R3,1
S10,I3,Negative,R3,1
S10,I4,Neutral,R3,1
S10,I5,Positive,R3,0
S10,I6,Negative,R3,0
S10,I7,Neutral,R3,0
S10,I8,Positive,R3,1
S10,I9,Negative,R3,1
S10,I10,Neutral,R3,0
S10,I11,Positive,R3,1
S10,I12,Negative,R3,1
S10,I13,Neutral,R3,0
S10,I14,Positive,R3,0
S10,I15,Negative,R3,0
S10,I16,Neutral,R3,0
S10,I17,Positive,R3,1
S10,I18,Negative,R3,0
S10,I19,Neutral,R3,1
S10,I20,Positive,R3,1
S10,I21,Negative,R3,0
S10,I22,Neutral,R3,1
S10,I23,Positive,R3,0
S10,I24,Negative,R3,0
S11,I1,Negative,R3,1
S11,I2,Neutral,R3,1
S11,I3,Positive,R3,0
S11,I4,Negative,R3,1
S11,I6,Positive,R3,0
S11,I7,Negative,R3,1
S11,I8,Neutral,R3,1
S11,I9,Positive,R3,1
S11,I10,Negative,R3,0
S11,I11,Neutral,R3,0
S11,I12,Positive,R3,0
S11,I13,Negative,R3,0
S11,I14,Neutral,R3,0
S11,I15,Positive,R3,1
S11,I16,Negative,R3,0
S11,I17,Neutral,R3,1
S11,I18,Positive,R3,0
S11,I19,Negative,R3,0
S11,I20,Neutral,R3,0
S11,I21,Positive,R3,1
S11,I22,Negative,R3,1
S11,I23,Neutral,R3,0
S11,I24,Positive,R3,1
S12,I1,Positive,R3,0
S12,I2,Negative,R3,1
S12,I3,Neutral,R3,0
S12,I4,Positive,R3,0
S12,I5,Negative,R3,0
S12,I6,Neutral,R3,1
S12,I7,Positive,R3,0
S12,I8,Negative,R3,1
S12,I9,Neutral,R3,1
S12,I10,Positive,R3,1
S12,I11,Negative,R3,0
S12,I12,Neutral,R3,1
S12,I13,Positive,R3,0
S12,I14,Negative,R3,1
S12,I15,Neutral,R3,1
S12,I16,Positive,R3,1
S12,I17,Negative,R3,0
S12,I18,Neutral,R3,0
S12,I19,Positive,R3,1
S12,I20,Negative,R3,0
S12,I21,Neutral,R3,0
S12,I22,Positive,R3,1
S12,I23,Negative,R3,0
S12,I24,Neutral,R3,1
S13,I1,Neutral,R3,0
S13,I2,Positive,R3,0
S13,I3,Negative,R3,0
S13,I4,Neutral,R3,1
S13,I5,Positive,R3,0
S13,I6,Negative,R3,1
S13,I7,Neutral,R3,0
S13,I8,Positive,R3,1
S13,I9,Negative,R3,1
S13,I10,Neutral,R3,0
S13,I11,Positive,R3,0
S13,I12,Negative,R3,0
S13,I13,Neutral,R3,1
S13,I14,Positive,R3,0
S13,I15,Negative,R3,0
S13,I16,Neutral,R3,0
S13,I17,Positive,R3,1
S13,I18,Negative,R3,0
S13,I19,Neutral,R3,0
S13,I20,Positive,R3,1
S13,I21,Negative,R3,1
S13,I22,Neutral,R3,0
S13,I23,Positive,R3,1
S13,I24,Negative,R3,0
S14,I1,Negative,R3,0
S14,I3,Positive,R3,1
S14,I4,Negative,R3,1
S14,I5,Neutral,R3,0
S14,I6,Positive,R3,0
S14,I7,Negative,R3,0
S14,I8,Neutral,R3,0
S14,I9,Positive,R3,0
S14,I10,Negative,R3,1
S14,I11,Neutral,R3,1
S14,I12,Positive,R3,0
S14,I13,Negative,R3,0
S14,I14,Neutral,R3,1
S14,I15,Positive,R3,0
S14,I16,Negative,R3,0
S14,I17,Neutral,R3,0
S14,I18,Positive,R3,0
S14,I19,Negative,R3,0
S14,I20,Neutral,R3,0
S14,I21,Positive,R3,1
S14,I22,Negative,R3,1
S14,I23,Neutral,R3,0
S14,I24,Positive,R3,0
S15,I1,Positive,R3,1
S15,I2,Negative,R3,0
S15,I3,Neutral,R3,1
S15,I4,Positive,R3,1
S15,I5,Negative,R3,1
S15,I6,Neutral,R3,0
S15,I7,Positive,R3,1
S15,I8,Negative,R3,1
S15,I9,Neutral,R3,0
S15,I10,Positive,R3,1
S15,I11,Negative,R3,0
S15,I12,Neutral,R3,1
S15,I13,Positive,R3,1
S15,I14,Negative,R3,1
S15,I15,Neutral,R3,0
S15,I16,Positive,R3,0
S15,I17,Negative,R3,1
S15,I18,Neutral,R3,1
S15,I19,Positive,R3,0
S15,I20,Negative,R3,1
S15,I21,Neutral,R3,1
S15,I22,Positive,R3,1
S15,I23,Negative,R3,1
S15,I24,Neutral,R3,1
S16,I1,Neutral,R3,0
S16,I2,Positive,R3,0
S16,I4,Neutral,R3,0
S16,I6,Negative,R3,0
S16,I7,Neutral,R3,0
S16,I8,Positive,R3,0
S16,I9,Negative,R3,0
S16,I10,Neutral,R3,0
S16,I11,Positive,R3,0
S16,I12,Negative,R3,1
S16,I13,Neutral,R3,0
S16,I14,Positive,R3,0
S16,I15,Negative,R3,0
S16,I16,Neutral,R3,0
S16,I17,Positive,R3,1
S16,I19,Neutral,R3,1
S16,I20,Positive,R3,0
S16,I21,Negative,R3,0
S16,I22,Neutral,R3,0
S16,I23,Positive,R3,0
S16,I24,Negative,R3,0
S17,I1,Negative,R3,1
S17,I2,Neutral,R3,0
S17,I3,Positive,R3,0
S17,I4,Negative,R3,1
S17,I5,Neutral,R3,0
S17,I6,Positive,R3,0
S17,I7,Negative,R3,1
S17,I8,Neutral,R3,0
S17,I9,Positive,R3,0
S17,I10,Negative,R3,0
S17,I12,Positive,R3,0
S17,I13,Negative,R3,1
S17,I14,Neutral,R3,1
S17,I15,Positive,R3,0
S17,I16,Negative,R3,1
S17,I17,Neutral,R3,0
S17,I18,Positive,R3,0
S17,I19,Negative,R3,1
S17,I21,Positive,R3,0
S17,I22,Negative,R3,1
S17,I23,Neutral,R3,0
S17,I24,Positive,R3,0
S18,I1,Positive,R3,0
S18,I2,Negative,R3,0
S18,I3,Neutral,R3,0
S18,I4,Positive,R3,1
S18,I5,Negative,R3,0
S18,I6,Neutral,R3,0
S18,I7,Positive,R3,0
S18,I8,Negative,R3,0
S18,I10,Positive,R3,0
S18,I11,Negative,R3,0
S18,I12,Neutral,R3,0
S18,I13,Positive,R3,0
S18,I14,Negative,R3,0
S18,I15,Neutral,R3,0
S18,I16,Positive,R3,1
S18,I18,Neutral,R3,0
S18,I19,Positive,R3,0
S18,I20,Negative,R3,0
S18,I21,Neutral,R3,0
S18,I22,Positive,R3,0
S18,I23,Negative,R3,0
S18,I24,Neutral,R3,0
S19,I1,Neutral,R3,0
S19,I2,Positive,R3,1
S19,I3,Negative,R3,0
S19,I4,Neutral,R3,1
S19,I6,Negative,R3,0
S19,I7,Neutral,R3,0
S19,I8,Positive,R3,0
S19,I9,Negative,R3,0
S19,I11,Positive,R3,0
S19,I12,Negative,R3,0
S19,I13,Neutral,R3,0
S19,I14,Positive,R3,0
S19,I15,Negative,R3,0
S19,I16,Neutral,R3,0
S19,I18,Negative,R3,0
S19,I19,Neutral,R3,0
S19,I20,Positive,R3,0
S19,I21,Negative,R3,0
S19,I22,Neutral,R3,0
S19,I23,Positive,R3,0
S19,I24,Negative,R3,0
S20,I1,Negative,R3,0
S20,I3,Positive,R3,0
S20,I4,Negative,R3,0
S20,I5,Neutral,R3,1
S20,I6,Positive,R3,1
S20,I7,Negative,R3,1
S20,I8,Neutral,R3,0
S20,I10,Negative,R3,0
S20,I11,Neutral,R3,0
S20,I12,Positive,R3,0
S20,I13,Negative,R3,0
S20,I14,Neutral,R3,1
S20,I15,Positive,R3,0
S20,I16,Negative,R3,0
S20,I17,Neutral,R3,0
S20,I18,Positive,R3,0
S20,I19,Negative,R3,0
S20,I20,Neutral,R3,0
S20,I21,Positive,R3,1
S20,I22,Negative,R3,0
S20,I23,Neutral,R3,0
S20,I24,Positive,R3,0
S21,I1,Positive,R3,0
S21,I2,Negative,R3,0
S21,I3,Neutral,R3,0
S21,I4,Positive,R3,0
S21,I5,Negative,R3,0
S21,I6,Neutral,R3,0
S21,I7,Positive,R3,0
S21,I8,Negative,R3,0
S21,I10,Positive,R3,0
S21,I11,Negative,R3,0
S21,I12,Neutral,R3,0
S21,I13,Positive,R3,0
S21,I14,Negative,R3,0
S21,I15,Neutral,R3,0
S21,I16,Positive,R3,0
S21,I17,Negative,R3,0
S21,I18,Neutral,R3,0
S21,I19,Positive,R3,0
S21,I20,Negative,R3,1
S21,I21,Neutral,R3,0
S21,I22,Positive,R3,0
S21,I23,Negative,R3,0
S21,I24,Neutral,R3,0
S22,I1,Neutral,R3,1
S22,I2,Positive,R3,0
S22,I3,Negative,R3,0
S22,I4,Neutral,R3,0
S22,I5,Positive,R3,0
S22,I6,Negative,R3,0
S22,I7,Neutral,R3,1
S22,I8,Positive,R3,0
S22,I9,Negative,R3,1
S22,I10,Neutral,R3,0
S22,I11,Positive,R3,0
S22,I12,Negative,R3,0
S22,I13,Neutral,R3,1
S22,I14,Positive,R3,1
S22,I15,Negative,R3,0
S22,I16,Neutral,R3,0
S22,I17,Positive,R3,0
S22,I18,Negative,R3,0
S22,I20,Positive,R3,0
S22,I21,Negative,R3,1
S22,I22,Neutral,R3,0
S22,I23,Positive,R3,1
S22,I24,Negative,R3,0
S23,I1,Negative,R3,1
S23,I2,Neutral,R3,0
S23,I3,Positive,R3,1
S23,I4,Negative,R3,1
S23,I5,Neutral,R3,0
S23,I6,Positive,R3,1
S23,I7,Negative,R3,0
S23,I9,Positive,R3,1
S23,I10,Negative,R3,0
S23,I11,Neutral,R3,1
S23,I12,Positive,R3,0
S23,I14,Neutral,R3,0
S23,I15,Positive,R3,0
S23,I16,Negative,R3,0
S23,I17,Neutral,R3,0
S23,I18,Positive,R3,1
S23,I19,Negative,R3,0
S23,I20,Neutral,R3,1
S23,I21,Positive,R3,0
S23,I22,Negative,R3,0
S23,I23,Neutral,R3,1
S23,I24,Positive,R3,0
S24,I1,Positive,R3,0
S24,I2,Negative,R3,0
S24,I3,Neutral,R3,0
S24,I4,Positive,R3,0
S24,I5,Negative,R3,0
S24,I6,Neutral,R3,0
S24,I7,Positive,R3,0
S24,I8,Negative,R3,0
S24,I9,Neutral,R3,0
S24,I10,Positive,R3,0
S24,I11,Negative,R3,0
S24,I12,Neutral,R3,0
S24,I13,Positive,R3,0
S24,I14,Negative,R3,0
S24,I15,Neutral,R3,0
S24,I16,Positive,R3,0
S24,I17,Negative,R3,0
S24,I18,Neutral,R3,1
S24,I19,Positive,R3,0
S24,I20,Negative,R3,0
S24,I21,Neutral,R3,0
S24,I22,Positive,R3,1
S24,I23,Negative,R3,0
S24,I24,Neutral,R3,1